query_id,query,label
P275,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P170> <http://www.wikidata.org/entity/Q5582> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c303 .
	?c303 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q386724> .
}",1
P276,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c783 .
	?c783 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q23397> .
}",0
P277,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1448> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c198 .
	?c198 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q26243694> .
}",0
P278,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q39614> .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q22> .
}",0
P279,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q488653> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P280,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q93633> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P281,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q2315249> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P283,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q36> .
	?x2 <http://www.wikidata.org/prop/direct/P19> ?x1 .
	?x2 <http://www.wikidata.org/prop/direct/P106>* <http://www.wikidata.org/entity/Q82955> .
}",0
P284,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q2966137> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c937 .
	?c937 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P285,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P921> <http://www.wikidata.org/entity/Q2763> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c983 .
	?c983 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q191067> .
}",1
P286,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q1637057> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P287,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q13100073> .
	?x1 <http://www.wikidata.org/prop/direct/P17>+ <http://www.wikidata.org/entity/Q148> .
}",0
P288,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q5964731> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P289,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P170> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q3305213> .
	?x1 <http://www.wikidata.org/prop/direct/P131> ?c658 .
	?c658 <http://www.wikidata.org/prop/direct/P17>* <http://www.wikidata.org/entity/Q34> .
}",0
P290,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c15 .
	?c15 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q23442> .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q90> .
}",0
P291,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q1625526> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P292,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q41417942> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P294,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q41323003> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P295,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q1367808> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P296,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P21> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c403 .
	?c403 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q6671777> .
}",0
P297,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1435> <http://www.wikidata.org/entity/Q811165> .
	?x1 <http://www.wikidata.org/prop/direct/P131> ?c59 .
	?c59 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q980> .
}",0
P298,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31>* <http://www.wikidata.org/entity/Q534932> .
}",0
P299,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P921> <http://www.wikidata.org/entity/Q7226> .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q142> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c140 .
	?c140 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q860861> .
}",0
P300,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q1651871> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P301,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q183> .
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c54 .
	?c54 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q262166> .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q985> .
}",0
P302,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c515 .
	?c515 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3305213> .
	?x1 <http://www.wikidata.org/prop/direct/P180> ?c22 .
	?c22 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q154> .
}",0
P303,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q8255504> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P304,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q217230> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P305,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c799 .
	?c799 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P306,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q515> .
	?x1 <http://www.wikidata.org/prop/direct/P131> ?c755 .
	?c755 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1208> .
}",0
P307,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q501292> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P308,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q208221> .
}",0
P309,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q90642> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c582 .
	?c582 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",0
P310,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c85 .
	?c85 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P312,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28734951> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P313,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P105> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x3 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x2 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q427626> .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q130942> .
	?x2 <http://www.wikidata.org/prop/direct/P361>+ ?x4 .
}",0
P314,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29873614> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P315,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P300> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31>* <http://www.wikidata.org/entity/Q3918> .
}",0
P316,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P279>+ <http://www.wikidata.org/entity/Q28555911> .
}",0
P317,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q829925> .
}",0
P318,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c29 .
	?c29 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P319,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q28294> .
}",0
P320,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q130942> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?c877 .
	?c877 <http://www.wikidata.org/prop/direct/P105> ?x4 .
	?x4 <http://www.wikidata.org/prop/direct/P361>+ ?x2 .
}",0
P321,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q29875500> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P322,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P106> <http://www.wikidata.org/entity/Q82955> .
	?x1 <http://www.wikidata.org/prop/direct/P19> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P279> <http://www.wikidata.org/entity/Q1711695> .
	?x1 <http://www.wikidata.org/prop/direct/P39> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q21> .
}",0
P323,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28738964> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P324,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> ?x2 .
	?x3 <http://www.wikidata.org/prop/direct/P105> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x3 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q16521> .
	?x4 <http://www.wikidata.org/prop/direct/P361> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q7377> .
}",0
P325,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q328046> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P326,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P180> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P18> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c922 .
	?c922 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q3305213> .
	?x2 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q234460> .
}",0
P327,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q10281806> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P328,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q35001555> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P329,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P50> <http://www.wikidata.org/entity/Q14468873> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c318 .
	?c318 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q571> .
}",1
P330,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1197> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q532> .
}",0
P331,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c842 .
	?c842 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q7075> .
	?x1 <http://www.wikidata.org/prop/direct/P131> ?c650 .
	?c650 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q25> .
}",0
P332,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c898 .
	?c898 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q486972> .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1356> .
}",0
P333,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q64> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c605 .
	?c605 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q41176> .
}",0
P334,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q481074> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P335,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P279> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q12737077> .
}",0
P336,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> <http://www.wikidata.org/entity/Q1449> .
	?x1 <http://www.wikidata.org/prop/direct/P31>+ <http://www.wikidata.org/entity/Q486972> .
}",0
P337,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q16970> .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q2683> .
}",0
P338,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q2379472> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c325 .
	?c325 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P339,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P19> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c165 .
	?c165 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q82794> .
}",0
P340,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q23826203> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P341,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q939035> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P342,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q3138626> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c732 .
	?c732 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P343,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q108093> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P344,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28733587> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P345,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P859> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c520 .
	?c520 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q13442814> .
}",1
P346,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c923 .
	?c923 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P347,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q20299171> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P348,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P625> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1196> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c71 .
	?c71 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q719456> .
}",0
P349,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q480656> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P350,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q441270> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c971 .
	?c971 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P351,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c922 .
	?c922 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q33506> .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q60> .
}",0
P352,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q11941017> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P353,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q38133595> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P354,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q525485> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c727 .
	?c727 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P355,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P21> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P27> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P3430> ?x4 .
	?x1 <http://www.wikidata.org/prop/direct/P969> ?x5 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c215 .
	?c215 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q5> .
}",0
P356,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q928830> .
	?x1 <http://www.wikidata.org/prop/direct/P131>+ <http://www.wikidata.org/entity/Q176> .
}",0
P357,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P127> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c966 .
	?c966 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q43229> .
}",0
P358,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1340> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c132 .
	?c132 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q5> .
}",1
P359,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q1971093> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P360,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P921> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P361>* <http://www.wikidata.org/entity/Q660519> .
}",0
P362,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x4 <http://www.wikidata.org/prop/direct/P150> ?x2 .
	?x4 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q1197> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q15324> .
}",0
P363,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P131> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?x3 .
	?x2 <http://www.wikidata.org/prop/direct/P131>* <http://www.wikidata.org/entity/Q108047> .
	?x3 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q56061> .
}",0
P364,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P17> <http://www.wikidata.org/entity/Q836> .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c153 .
	?c153 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q16917> .
}",0
P365,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q257023> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P366,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q998351> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P367,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q204756> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P368,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P4000> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P171>+ <http://www.wikidata.org/entity/Q756> .
}",0
P369,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q18789> .
}",0
P370,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P105> <http://www.wikidata.org/entity/Q7432> .
	?x1 <http://www.wikidata.org/prop/direct/P171> ?x2 .
	?x2 <http://www.wikidata.org/prop/direct/P171>* <http://www.wikidata.org/entity/Q39861> .
}",0
P371,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P1082> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P17> ?x3 .
	?x1 <http://www.wikidata.org/prop/direct/P31> ?c856 .
	?c856 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q515> .
}",0
P372,"SELECT * WHERE {
	<http://www.wikidata.org/entity/Q10860948> <http://www.wikidata.org/prop/direct/P106> ?x1 .
	?x1 <http://www.wikidata.org/prop/direct/P279>* ?c237 .
	?c237 <http://www.wikidata.org/prop/direct/P425> ?x2 .
}",1
P373,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P300> ?x2 .
	<http://www.wikidata.org/entity/Q28738934> <http://www.wikidata.org/prop/direct/P131>* ?x1 .
}",0
P374,"SELECT * WHERE {
	?x1 <http://www.wikidata.org/prop/direct/P106> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P106> ?x2 .
	?x1 <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q5> .
	?x2 <http://www.wikidata.org/prop/direct/P31>* ?c799 .
	?c799 <http://www.wikidata.org/prop/direct/P279>* <http://www.wikidata.org/entity/Q931260> .
}",0
